subject,feature type,measurements,value
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,random forest,error,0
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,J48,precision,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,J48,recall,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,J48,F-measure,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,J48,AUC,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,J48,error,0
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,naive bayers,precision,0.99753922
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,naive bayers,recall,0.998768852
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,naive bayers,F-measure,0.998153657
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,naive bayers,AUC,0.916949153
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,naive bayers,error,0.001231148
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,SVM,precision,0.99879591
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,SVM,recall,0.945213912
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,SVM,F-measure,0.97065627
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,SVM,AUC,0.97257319
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\apk-parser.arff,SVM,error,0.054786088
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,random forest,precision,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,random forest,recall,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,random forest,F-measure,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,random forest,AUC,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,random forest,error,0
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,J48,precision,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,J48,recall,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,J48,F-measure,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,J48,AUC,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,J48,error,0
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,naive bayers,precision,0.342653183
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,naive bayers,recall,0.585365854
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,naive bayers,F-measure,0.432270169
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,naive bayers,AUC,0.776960784
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,naive bayers,error,0.414634146
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,SVM,precision,0.770860077
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,SVM,recall,0.487804878
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,SVM,F-measure,0.386400591
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,SVM,AUC,0.5625
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\appengine-guestbook-java.arff,SVM,error,0.512195122
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,random forest,precision,0.997903564
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,random forest,recall,0.997641509
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,random forest,F-measure,0.997709458
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,random forest,AUC,0.999098558
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,random forest,error,0.002358491
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,J48,precision,0.992975188
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,J48,recall,0.992924528
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,J48,F-measure,0.992120838
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,J48,AUC,0.625450721
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,J48,error,0.007075472
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,naive bayers,precision,0.96262015
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,naive bayers,recall,0.981132075
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,naive bayers,F-measure,0.97178796
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,naive bayers,AUC,0.926081731
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,naive bayers,error,0.018867925
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,SVM,precision,0.981902195
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,SVM,recall,0.556603774
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,SVM,F-measure,0.696194475
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,SVM,AUC,0.774038462
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\are-we-consistent-yet.arff,SVM,error,0.443396226
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,random forest,precision,0.856593577
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,random forest,recall,0.826974268
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,random forest,F-measure,0.817739728
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,random forest,AUC,0.862257806
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,random forest,error,0.155279503
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,J48,precision,0.754526587
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,J48,recall,0.755989352
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,J48,F-measure,0.753903906
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,J48,AUC,0.744984349
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,J48,error,0.041703638
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,naive bayers,precision,0.178388179
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,naive bayers,recall,0.422360248
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,naive bayers,F-measure,0.250834034
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,naive bayers,AUC,0.497150473
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,naive bayers,error,0.577639752
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,SVM,precision,0.856590593
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,SVM,recall,0.809228039
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,SVM,F-measure,0.794920513
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,SVM,AUC,0.774159664
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\ashot.arff,SVM,error,0.190771961
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,random forest,precision,0.99167381
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,random forest,recall,0.990207599
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,random forest,F-measure,0.990638581
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,random forest,AUC,0.996931096
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,random forest,error,0.007703356
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,J48,precision,0.979159448
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,J48,recall,0.980545763
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,J48,F-measure,0.97948723
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,J48,AUC,0.828987663
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,J48,error,0.007703356
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,naive bayers,precision,0.95946436
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,naive bayers,recall,0.963311137
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,naive bayers,F-measure,0.946989252
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,naive bayers,AUC,0.577416241
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,naive bayers,error,0.036166601
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,SVM,precision,0.965169881
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,SVM,recall,0.58179919
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,SVM,F-measure,0.700674935
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,SVM,AUC,0.782641151
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\brickhouse.arff,SVM,error,0.41820081
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,random forest,precision,0.953917051
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,random forest,recall,0.935483871
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,random forest,F-measure,0.939569892
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,random forest,AUC,0.984615385
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,random forest,error,0.064516129
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,J48,precision,0.953917051
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,J48,recall,0.935483871
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,J48,F-measure,0.939569892
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,J48,AUC,0.953846154
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,J48,error,0.064516129
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,naive bayers,precision,0.703433923
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,naive bayers,recall,0.838709677
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,naive bayers,F-measure,0.765138653
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,naive bayers,AUC,1
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,naive bayers,error,0.161290323
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,SVM,precision,0.881154499
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,SVM,recall,0.548387097
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,SVM,F-measure,0.596915676
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,SVM,AUC,0.730769231
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\byteunits.arff,SVM,error,0.451612903
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,random forest,precision,0.959869134
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,random forest,recall,0.946269262
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,random forest,F-measure,0.949521909
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,random forest,AUC,0.97907448
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,random forest,error,0.050486618
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,J48,precision,0.946564184
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,J48,recall,0.939375507
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,J48,F-measure,0.941699642
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,J48,AUC,0.931330963
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,J48,error,0.029399838
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,naive bayers,precision,0.736979778
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,naive bayers,recall,0.858475264
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,naive bayers,F-measure,0.79310152
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,naive bayers,AUC,0.633555384
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,naive bayers,error,0.141524736
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,SVM,precision,0.906686228
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,SVM,recall,0.726074615
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,SVM,F-measure,0.767434892
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,SVM,AUC,0.840458196
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\cassandra-reaper.arff,SVM,error,0.273925385
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,random forest,precision,0.87571666
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,random forest,recall,0.817934783
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,random forest,F-measure,0.826896944
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,random forest,AUC,0.899469754
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,random forest,error,0.157065217
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,J48,precision,0.829934656
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,J48,recall,0.801630435
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,J48,F-measure,0.808969991
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,J48,AUC,0.786422229
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,J48,error,0.091847826
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,naive bayers,precision,0.521692167
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,naive bayers,recall,0.722282609
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,naive bayers,F-measure,0.605814823
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,naive bayers,AUC,0.476456262
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,naive bayers,error,0.277717391
D:\experimental data\ISSTA2016_PMT\AAAAADataForISSTA\test_9ASE\AICE_arffs\chromecast-java-api-v2.arff,SVM,precision,0.851998377
